words_processed,total_chars,chars_typed,percentage
1,12,12,100
2,20,20,100
4,39,39,100
8,70,63,90
16,151,144,95.3642
32,299,287,95.9866
64,619,603,97.4152
128,1221,1188,97.2973
256,2433,2331,95.8076
512,4770,4600,96.4361
1024,9528,9178,96.3266
2048,18935,18267,96.4721
4096,37566,36242,96.4755
8192,75381,72607,96.32
16384,151098,145038,95.9894
32768,302072,287357,95.1286
65536,603994,565486,93.6244
131072,1206649,1102826,91.3958
262144,2414001,2132690,88.3467
524288,4827370,4101404,84.9615
1048576,9653507,7928510,82.1309
2097152,19307423,15532960,80.4507
4194304,38597959,30727945,79.6103
