words_processed,total_chars,chars_typed,percentage
1,1,1,100
2,4,4,100
4,12,11,91.6667
8,38,36,94.7368
16,66,63,95.4545
32,148,129,87.1622
64,292,262,89.726
128,579,512,88.4283
256,1170,1049,89.6581
512,2294,2018,87.9686
1024,4604,4069,88.3797
2048,9126,7978,87.4206
4096,18185,15792,86.8408
8192,36353,31281,86.0479
16384,73015,62371,85.4222
32768,145969,123671,84.7242
65536,290841,244528,84.0762
131072,581097,485462,83.5423
262144,1162547,966498,83.1363
524288,2323928,1922361,82.7203
1048576,4645384,3827279,82.3889
2097152,9292568,7633896,82.1506
4194304,18577970,15226744,81.9613
