words_processed,total_chars,chars_typed,percentage
1,8,8,100
2,11,11,100
4,18,18,100
8,24,24,100
16,64,64,100
32,148,145,97.973
64,321,287,89.4081
128,660,568,86.0606
256,1331,1148,86.2509
512,2631,2193,83.3523
1024,5240,4143,79.0649
2048,10649,8430,79.1624
4096,21348,17447,81.7266
8192,49801,41593,83.5184
16384,92245,77030,83.5059
32768,176047,144773,82.2354
65536,342224,279710,81.733
131072,682475,551861,80.8617
262144,1342681,1084224,80.7507
524288,2676605,2152412,80.4158
1048576,5331079,4283538,80.3503
2097152,10666905,8569138,80.3339
4194304,21369648,17178828,80.3889
