words_processed,total_chars,chars_typed,percentage
1,12,12,100
2,20,20,100
4,39,39,100
8,70,63,90
16,151,144,95.3642
32,299,287,95.9866
64,619,603,97.4152
128,1221,1184,96.9697
256,2433,2318,95.2733
512,4770,4586,96.1426
1024,9528,9150,96.0327
2048,18935,18220,96.2239
4096,37566,36175,96.2972
8192,75381,72443,96.1025
16384,151098,144723,95.7809
32768,302072,286802,94.9449
65536,603994,564052,93.387
131072,1206649,1100167,91.1754
262144,2414001,2127852,88.1463
524288,4827370,4091664,84.7597
1048576,9653507,7906915,81.9072
2097152,19307423,15484248,80.1984
4194304,38597959,30619748,79.33
