words_processed,total_chars,chars_typed,percentage
1,1,1,100
2,4,4,100
4,12,12,100
8,38,31,81.5789
16,66,57,86.3636
32,148,126,85.1351
64,292,251,85.9589
128,579,512,88.4283
256,1170,1033,88.2906
512,2294,2014,87.7942
1024,4604,4034,87.6195
2048,9126,7916,86.7412
4096,18185,15631,85.9555
8192,36353,30902,85.0054
16384,73015,61603,84.3703
32768,145969,122335,83.8089
65536,290841,242513,83.3834
131072,581097,482059,82.9567
262144,1162547,961974,82.7471
524288,2323928,1919431,82.5943
1048576,4645384,3832134,82.4934
2097152,9292568,7659829,82.4296
4194304,18577970,15306648,82.3914
