words_processed,total_chars,chars_typed,percentage
1,8,8,100
2,11,11,100
4,18,18,100
8,24,24,100
16,64,64,100
32,148,145,97.973
64,321,290,90.3427
128,660,572,86.6667
256,1331,1145,86.0255
512,2631,2219,84.3406
1024,5240,4193,80.0191
2048,10649,8362,78.5238
4096,21348,17298,81.0287
8192,49801,40321,80.9642
16384,92245,74794,81.0819
32768,176047,141258,80.2388
65536,342224,273621,79.9538
131072,682475,540695,79.2256
262144,1342681,1062524,79.1345
524288,2676605,2110058,78.8334
1048576,5331079,4196207,78.7122
2097152,10666905,8397238,78.7223
4194304,21369648,16831725,78.7646
