words_inserted,chars_in_batch,time_ms,time_per_char_ms
16384,151096,8.594,5.68777e-05
32768,136657,7.618,5.57454e-05
49152,153819,8.147,5.29648e-05
65536,152319,11.341,7.44556e-05
81920,145915,12.389,8.49056e-05
98304,137352,11.839,8.61946e-05
114688,163618,13.433,8.20998e-05
131072,133176,11.737,8.81315e-05
147456,163602,13.801,8.43572e-05
163840,157876,13.868,8.78411e-05
180224,166972,13.804,8.26725e-05
196608,146138,12.226,8.36606e-05
212992,142757,12.119,8.48925e-05
229376,154819,12.978,8.38269e-05
245760,162788,13.709,8.42138e-05
262144,143371,12.587,8.77932e-05
